Universe Date,Filter Date,Era,Novel Type,Title,Writers,Release Date,Canon or Legends,Image,Thumbnail
230 BBY,-230,THR,YA,The High Republic: Midnight Horizon,Daniel Jose Older,2/1/2022,Canon,https://static.wikia.nocookie.net/starwars/images/d/dc/HighRepublicMidnightHorizon.jpg/revision/latest?cb=20210916182836,SWImages\The High Republic Midnight Horizon.jpg
230 BBY,-230,THR,ON,The High Republic: The Fallen Star,Claudia Gray,1/4/2022,Canon,https://static.wikia.nocookie.net/starwars/images/7/79/HighRepublicTheFallenStar-Cover.jpg/revision/latest?cb=20210915222426,SWImages\The High Republic The Fallen Star.jpg
229 BBY,-229,THR,ON,The High Republic: The Eye of Darkness,George Mann,11/14/2023,Canon,https://static.wikia.nocookie.net/starwars/images/b/b0/TheHighRepublic-TheEyeofDarkness-cover.jpg/revision/latest?cb=20230705195428,SWImages\The High Republic The Eye of Darkness.jpg
229 BBY,-229,THR,YA,The High Republic: Defy the Storm,"Tessa Gratton 
Justina Ireland",3/5/2024,Canon,https://static.wikia.nocookie.net/starwars/images/7/79/TheHighRepublic-DefytheStorm-cover.jpg/revision/latest?cb=20230721222810,SWImages\The High Republic Defy the Storm.jpg
229 BBY,-229,THR,OJR,The High Republic: Escape from Valo,"Daniel Jose Older 
Alyssa Wong",1/30/2024,Canon,https://static.wikia.nocookie.net/starwars/images/1/1c/TheHighRepublic-EscapeFromValo-cover.jpg/revision/latest?cb=20230721222104,SWImages\The High Republic Escape from Valo.jpg
229 BBY,-229,THR,ON,The High Republic: Temptation of the Force,Tessa Gratton,6/11/2024,Canon,https://static.wikia.nocookie.net/starwars/images/2/2e/TheHighRepublic-TemptationoftheForce-cover.jpg/revision/latest?cb=20240520141843,SWImages\The High Republic Temptation of the Force.jpg
229 BBY,-229,THR,YA,The High Republic: Tears of the Nameless,George Mann,9/24/2024,Canon,https://static.wikia.nocookie.net/starwars/images/3/3b/TearsOfTheNameless-Cover.png/revision/latest?cb=20240929070043,SWImages\The High Republic Tears of the Nameless.jpg
229 BBY,-229,THR,OJR,The High Republic: Beware the Nameless,Zoraida Cordova,7/23/2024,Canon,https://static.wikia.nocookie.net/starwars/images/4/42/TheHighRepublic-BewaretheNameless-cover.jpg/revision/latest?cb=20240410183153,SWImages\The High Republic Beware the Nameless.jpg
229 BBY,-229,THR,ON,The High Republic: Trials of the Jedi,Charles Soule,6/17/2025,Canon,https://drive.google.com/uc?id=1cKxN7XZ7kXuxCiEUiMWgMj15rKV5hqYY,SWImages\The High Republic Trials of the Jedi.jpg
229 BBY,-229,THR,YA,The High Republic: Into the Light,Claudia Gray,4/1/2025,Canon,https://static.wikia.nocookie.net/starwars/images/4/45/TheHighRepublic-IntotheLight-cover.jpg/revision/latest?cb=20241018205643,SWImages\The High Republic Into the Light.jpg
229 BBY,-229,THR,OJR,The High Republic: A Valiant Vow,Justina Ireland,5/6/2025,Canon,https://static.wikia.nocookie.net/starwars/images/7/7a/TheHighRepublic-AValiantVow-cover.jpg/revision/latest?cb=20241018204911,SWImages\The High Republic A Valiant Vow.jpg
200 BBY,-200,THR,ON,The Vow of Silver Dawn,His Majesty the King,12/16/2020,Canon,https://static.wikia.nocookie.net/starwars/images/8/8a/TheVowOfSilverDawnCover.jpg/revision/latest?cb=20210221124349,SWImages\The Vow of Silver Dawn.jpg
41 BBY,-41,FOTJ,S,Dooku: Jedi Lost,Cavan Scott,10/1/2019,Canon,https://static.wikia.nocookie.net/starwars/images/c/c3/DookuJediLost.jpg/revision/latest?cb=20190328235713,SWImages\Dooku Jedi Lost.jpg
41 BBY,-41,FOTJ,YA,Padawan,Kiersten White,7/26/2022,Canon,https://static.wikia.nocookie.net/starwars/images/7/74/Padawan_cover.jpg/revision/latest?cb=20220225073815,SWImages\Padawan.jpg
40 BBY,-40,FOTJ,ON,Master & Apprentice,Claudia Gray,4/16/2019,Canon,https://static.wikia.nocookie.net/starwars/images/c/c5/MasterApprentice-Hardcover.jpg/revision/latest?cb=20181007232310,SWImages\Master and Apprentice.jpg
